Dhanbad U A,1951,0,73602
Dhanbad U A,1961,124.2,223843
Dhanbad U A,1971,202.29,456276
Dhanbad U A,1981,208.59,689460
Dhanbad U A,1991,207.99,828301
Dhanbad U A,2001,223.06,1065327
Dhanbad U A,2011,240.66,1196214
Aurangabad U A,1901,0,36837
Aurangabad U A,1911,0,34902
Aurangabad U A,1921,0,36876
Aurangabad U A,1931,0,36870
Aurangabad U A,1941,0,50924
Aurangabad U A,1951,0,66636
Aurangabad U A,1961,50.56,97701
Aurangabad U A,1971,50.48,165253
Aurangabad U A,1981,50.48,316421
Aurangabad U A,1991,148.12,592709
Aurangabad U A,2001,148.12,892483
Aurangabad U A,2011,148.12,1193167
Amritsar U A,1901,0,162429
Amritsar U A,1911,0,152756
Amritsar U A,1921,0,160218
Amritsar U A,1931,0,264840
Amritsar U A,1941,0,391010
Amritsar U A,1951,0,336114
Amritsar U A,1961,0,390055
Amritsar U A,1971,0,454805
Amritsar U A,1981,0,594844
Amritsar U A,1991,0,708835
Amritsar U A,2001,0,1003917
Amritsar U A,2011,0,1183549
Jodhpur U A,1901,0,79109
Jodhpur U A,1911,0,79756
Jodhpur U A,1921,0,73480
Jodhpur U A,1931,0,94736
Jodhpur U A,1941,0,126842
Jodhpur U A,1951,0,180717
Jodhpur U A,1961,75.5,224760
Jodhpur U A,1971,230.18,317612
Jodhpur U A,1981,78.57,506345
Jodhpur U A,1991,78.6,666279
Jodhpur U A,2001,90.34,860818
Jodhpur U A,2011,132.97,1138300
Ranchi U A,1901,0,25970
Ranchi U A,1911,0,32994
Ranchi U A,1921,0,39628
Ranchi U A,1931,0,50517
Ranchi U A,1941,0,62562
Ranchi U A,1951,0,106849
Ranchi U A,1961,39.86,140253
Ranchi U A,1971,94.88,266545
Ranchi U A,1981,182.09,502771
Ranchi U A,1991,182.09,614795
Ranchi U A,2001,182.09,863495
Ranchi U A,2011,197.36,1126720
Raipur U A,1901,0,32114
Raipur U A,1911,0,35335
Raipur U A,1921,0,38341
Raipur U A,1931,0,45390
Raipur U A,1941,0,63465
Raipur U A,1951,0,89804
Raipur U A,1961,25.17,139792
Raipur U A,1971,0,205986
Raipur U A,1981,55.03,338245
Raipur U A,1991,64.29,462694
Raipur U A,2001,128.05,743494
Raipur U A,2011,192.55,1123558
Kollam U A,1901,0,15691
Kollam U A,1911,0,18839
Kollam U A,1921,0,29875
Kollam U A,1931,0,39529
Kollam U A,1941,0,55886
Kollam U A,1951,0,79937
Kollam U A,1961,27.55,123291
Kollam U A,1971,29.69,166079
Kollam U A,1981,49.1,246840
Kollam U A,1991,77.24,365130
Kollam U A,2001,78.55,418743
Kollam U A,2011,364.51,1110668
Gwalior U A,1901,0,138612
Gwalior U A,1911,0,84458
Gwalior U A,1921,0,113684
Gwalior U A,1931,0,126949
Gwalior U A,1941,0,182492
Gwalior U A,1951,0,241577
Gwalior U A,1961,62.44,300587
Gwalior U A,1971,0,406140
Gwalior U A,1981,303.18,555862
Gwalior U A,1991,303.18,717780
Gwalior U A,2001,180.16,865548
Gwalior U A,2011,183.71,1102884
Durg Bhilai U A,1911,0,7048
Durg Bhilai U A,1921,0,11274
Durg Bhilai U A,1931,0,13172
Durg Bhilai U A,1941,0,16766
Durg Bhilai U A,1951,0,20249
Durg Bhilai U A,1961,124.06,133230
Durg Bhilai U A,1971,135.04,245124
Durg Bhilai U A,1981,159.84,499395
Durg Bhilai U A,1991,202.3,705076
Durg Bhilai U A,2001,340.75,927864
Durg Bhilai U A,2011,335.63,1064222
Tiruchirappalli U A,1901,0,127760
Tiruchirappalli U A,1911,0,148311
Tiruchirappalli U A,1921,0,149633
Tiruchirappalli U A,1931,0,187745
Tiruchirappalli U A,1941,0,209214
Tiruchirappalli U A,1951,0,301694
Tiruchirappalli U A,1961,72.88,348931
Tiruchirappalli U A,1971,99.64,465400
Tiruchirappalli U A,1981,145.85,607986
Tiruchirappalli U A,1991,170.57,729127
Tiruchirappalli U A,2001,198.55,887865
Tiruchirappalli U A,2011,211.51,1022518
Kota,1901,0,33657
Kota,1911,0,32753
Kota,1921,0,31707
Kota,1931,0,37876
Kota,1941,0,47339
Kota,1951,0,65107
Kota,1961,193.58,120345
Kota,1971,141.23,212991
Kota,1981,221.36,358241
Kota,1991,221.36,537371
Kota,2001,225.87,703150
Kota,2011,527.03,1001694
Mysore U  A,1901,0,68111
Mysore U  A,1911,0,71306
Mysore U  A,1921,0,83951
Mysore U  A,1931,0,107142
Mysore U  A,1941,0,150540
Mysore U  A,1951,0,244323
Mysore U  A,1961,37.3,253865
Mysore U  A,1971,37.3,355685
Mysore U  A,1981,82.27,479081
Mysore U  A,1991,128.42,653345
Mysore U  A,2001,124.22,797701
Mysore U  A,2011,131.9,990900
Bareilly U A,1901,0,133167
Bareilly U A,1911,0,129462
Bareilly U A,1921,0,129459
Bareilly U A,1931,0,144031
Bareilly U A,1941,0,192688
Bareilly U A,1951,0,208083
Bareilly U A,1961,39.91,272828
Bareilly U A,1971,45.48,326106
Bareilly U A,1981,49.87,449425
Bareilly U A,1991,124.17,617350
Bareilly U A,2001,127.03,757979
Bareilly U A,2011,132.05,985752
Chandigarh  U A,1961,32.4,99262
Chandigarh  U A,1971,57.6,232940
Chandigarh  U A,1981,68.33,422841
Chandigarh  U A,1991,78.0,575829
Chandigarh  U A,2001,79.34,808515
Chandigarh  U A,2011,105.68,970602
Tiruppur U A,1901,0,6056
Tiruppur U A,1911,0,9429
Tiruppur U A,1921,0,10851
Tiruppur U A,1931,0,18059
Tiruppur U A,1941,0,39195
Tiruppur U A,1951,0,60465
Tiruppur U A,1961,54.86,97965
Tiruppur U A,1971,71.16,151127
Tiruppur U A,1981,90.98,215859
Tiruppur U A,1991,90.98,306237
Tiruppur U A,2001,197.36,596343
Tiruppur U A,2011,230.87,963173
Guwahati U A,1901,0,11661
Guwahati U A,1911,0,12481
Guwahati U A,1921,0,16480
Guwahati U A,1931,0,21797
Guwahati U A,1941,0,29598
Guwahati U A,1951,0,43615
Guwahati U A,1961,23.31,136239
Guwahati U A,1971,43.82,200377
Guwahati U A,1981,0,0
Guwahati U A,1991,216.79,584342
Guwahati U A,2001,216.79,818809
Guwahati U A,2011,219.06,962334
Solapur,1901,0,75288
Solapur,1911,0,61345
Solapur,1921,0,119581
Solapur,1931,0,144654
Solapur,1941,0,212620
Solapur,1951,0,277087
Solapur,1961,22.35,337583
Solapur,1971,23.23,398361
Solapur,1981,25.33,514860
Solapur,1991,33.11,620846
Solapur,2001,178.57,872478
Solapur,2011,178.57,951558
Hubli Dharwad,1901,0,81143
Hubli Dharwad,1911,0,91031
Hubli Dharwad,1921,0,100992
Hubli Dharwad,1931,0,124398
Hubli Dharwad,1941,0,143504
Hubli Dharwad,1951,0,196180
Hubli Dharwad,1961,41.18,248489
Hubli Dharwad,1971,182.3,379166
Hubli Dharwad,1981,190.94,527108
